kutu_alt_m,kutu_ust_m,kutu_orta_m,kutu_orta_cm,sayim,PDF,CDF
-0.0999999999999997,-0.07999999999999968,-0.08999999999999969,-8.99999999999997,15321,0.05089356896093542,0.20348126494817964
-0.07999999999999968,-0.059999999999999665,-0.06999999999999967,-6.999999999999967,16927,0.05622840818495881,0.2597096731331385
-0.059999999999999665,-0.03999999999999965,-0.049999999999999656,-4.999999999999965,19676,0.06536008503853309,0.32506975817167155
-0.03999999999999965,-0.01999999999999963,-0.029999999999999638,-2.9999999999999636,24731,0.08215187350518204,0.4072216316768536
-0.01999999999999963,3.885780586188048e-16,-0.00999999999999962,-0.999999999999962,26516,0.08808131809726283,0.49530294977411643
3.885780586188048e-16,0.020000000000000406,0.010000000000000397,1.0000000000000397,25593,0.08501528036141377,0.5803182301355302
0.020000000000000406,0.040000000000000424,0.030000000000000415,3.0000000000000417,24720,0.08211533351049695,0.6624335636460271
0.040000000000000424,0.06000000000000044,0.05000000000000043,5.0000000000000435,24923,0.08278966250332181,0.745223226149349
0.06000000000000044,0.08000000000000046,0.07000000000000045,7.000000000000045,19125,0.06352976348657986,0.8087529896359289
0.08000000000000046,0.10000000000000048,0.09000000000000047,9.000000000000046,14992,0.049800690938081316,0.8585536805740102
0.10000000000000048,0.1200000000000005,0.11000000000000049,11.000000000000048,11506,0.0382208344406059,0.896774515014616
0.1200000000000005,0.1400000000000005,0.1300000000000005,13.00000000000005,8389,0.027866728673930374,0.9246412436885464
0.1400000000000005,0.16000000000000053,0.15000000000000052,15.000000000000052,6233,0.020704889715652406,0.9453461334041988
0.16000000000000053,0.18000000000000055,0.17000000000000054,17.000000000000053,4681,0.015549428647355833,0.9608955620515547
0.18000000000000055,0.20000000000000057,0.19000000000000056,19.000000000000057,3575,0.011875498272654796,0.9727710603242095
0.20000000000000057,0.22000000000000058,0.21000000000000058,21.000000000000057,2450,0.008138453361679511,0.980909513685889
0.22000000000000058,0.2400000000000006,0.2300000000000006,23.00000000000006,1839,0.0061088227478076,0.9870183364336965
0.2400000000000006,0.2600000000000006,0.2500000000000006,25.00000000000006,1418,0.004710337496678182,0.9917286739303747
0.2600000000000006,0.28000000000000064,0.27000000000000063,27.000000000000064,655,0.0021757905926122773,0.993904464522987
0.28000000000000064,0.30000000000000066,0.29000000000000065,29.000000000000064,494,0.0016409779431304809,0.9955454424661174
0.30000000000000066,0.3200000000000007,0.31000000000000066,31.000000000000068,422,0.0014018070688280627,0.9969472495349455
0.3200000000000007,0.3400000000000007,0.3300000000000007,33.00000000000007,336,0.0011161307467446187,0.9980633802816902
0.3400000000000007,0.3600000000000007,0.3500000000000007,35.00000000000007,187,0.0006211799096465586,0.9986845601913368
0.3600000000000007,0.3800000000000007,0.3700000000000007,37.00000000000007,123,0.0004085835769332979,0.9990931437682701
0.3800000000000007,0.40000000000000074,0.39000000000000073,39.00000000000007,90,0.00029896359287802284,0.9993921073611481
0.40000000000000074,0.42000000000000076,0.41000000000000075,41.00000000000008,41,0.00013619452564443262,0.9995283018867925
0.42000000000000076,0.4400000000000008,0.43000000000000077,43.00000000000008,36,0.00011958543715120914,0.9996478873239437
0.4400000000000008,0.4600000000000008,0.4500000000000008,45.00000000000008,39,0.00012955089024714323,0.9997774382141909
0.4600000000000008,0.4800000000000008,0.4700000000000008,47.00000000000008,31,0.00010297634865798565,0.9998804145628488
0.4800000000000008,0.5000000000000009,0.4900000000000009,49.000000000000085,9,2.9896359287802285e-05,0.9999103109221367
0.5000000000000009,0.5200000000000009,0.5100000000000009,51.00000000000009,14,4.6505447781025776e-05,0.9999568163699177
0.5200000000000009,0.5400000000000009,0.5300000000000009,53.00000000000009,9,2.9896359287802285e-05,0.9999867127292056
0.5400000000000009,0.5600000000000009,0.5500000000000009,55.00000000000009,4,1.3287270794578794e-05,1.0000000000000002
